ja,en
私[わたし]**は**学生[がくせい]だ,I am a student; Topic wa comment: what follows says something about the topic.
猫[ねこ]**が**いる,there is a cat; Doer ga verb: the doer is the one that acts or the thing that exists.
本[ほん]**を**読[よ]む,to read a book; Object o verb: the object is what the verb is done to.
家[いえ]**を**出[で]る,to leave the house; Place o motion verb: the space gone out of or crossed rather than a thing acted on.
学校[がっこう]**に**行[い]く,to go to school; Place ni motion verb: where the movement ends up.
東京[とうきょう]**に**住[す]む,to live in Tokyo; Place ni verb of being: where something stays rather than a place moved to.
三時[さんじ]**に**会[あ]う,to meet at three; Time ni verb: only for clock times and dates.
友達[ともだち]**に**話[はな]す,to talk to a friend; Person ni verb: the one the action reaches.
魔王[まおう]**に**なる,to become the demon lord; Noun ni naru: what something turns into.
学校[がっこう]**へ**行[い]く,to head for school; Place e motion verb: what one heads towards. Spelled he but said e.
電車[でんしゃ]**で**行[い]く,to go by train; Means de verb: the tool or way used.
学校[がっこう]**で**食[た]べる,to eat at school; Place de verb: where the action happens.
雨[あめ]**で**中止[ちゅうし]だ,cancelled because of rain; Cause de result: what follows is what came of it.
三人[さんにん]**で**行[い]く,to go as a group of three; Number de verb: how many act together.
友達[ともだち]**と**行[い]く,to go with a friend; Person to verb: who joins in the action.
猫[ねこ]**と**犬[いぬ],a cat and a dog; Noun to noun: the list is complete.
猫[ねこ]**や**犬[いぬ],cats and dogs and so on; Noun ya noun: the rest is left unsaid.
本[ほん]**か**雑誌[ざっし],a book or a magazine; Noun ka noun: a choice between the two.
私[わたし]**の**本[ほん],my book; Noun no noun: the first owns or describes the second.
行[い]く**の**が好[す]きだ,I like going; Clause no rest of sentence: the clause turns into a noun.
どこ**から**来[き]た,where did you come from; Place or time kara verb: where it starts out from.
駅[えき]**まで**歩[ある]く,to walk as far as the station; Place or time made verb: where it stops.
五時[ごじ]**までに**帰[かえ]る,to be home by five; Time madeni verb: the deadline to finish by.
これ**より**高[たか]い,more expensive than this; Standard yori quality: what the comparison measures against.
猫[ねこ]**も**いる,there is a cat too; Noun mo verb: added to what was already mentioned.
何[なに]**も**ない,there is nothing; Question word mo negative verb: nothing at all fits the question word.
誰[だれ]**でも**いい,anyone will do; Question word demo clause: any one at all fits the question word.
水[みず]**しか**ない,there is only water; Noun shika negative verb: only that one and the verb must be negative.
水[みず]**だけ**飲[の]む,to drink only water; Noun dake verb: only that much and the verb stays plain.
一時間[いちじかん]**ぐらい**待[ま]つ,to wait about an hour; Amount gurai verb: the amount is rough.
死[し]ぬ**ほど**疲[つか]れた,tired to death; Extreme hodo state: the extreme gives the extent of the state.
三時[さんじ]**ごろ**着[つ]く,to arrive around three; Time goro verb: the point in time is rough.
本[ほん]**ずつ**渡[わた]す,to hand over one book each; Amount zutsu verb: what each one gets.
行[い]くか行[い]かない**か**,whether to go or not; Clause ka main clause: the clause becomes a question inside the sentence.
行[い]きます**か**,are you going; Sentence ka: turns the sentence into a question.
行[い]く**の**,are you going; Plain sentence no: asks a question and invites the story behind it.
行[い]く**んだ**,the thing is I am going; Plain sentence nda: offers the sentence as an explanation.
高[たか]い**ね**,it is expensive isn't it; Sentence ne: asks the listener to agree.
行[い]く**よ**,I am going you know; Sentence yo: tells the listener something new.
そうだ**ぞ**,that's right; Sentence zo: presses the point bluntly. Mostly male.
行[い]く**わ**,I'll go then; Sentence wa: softens how it lands. Mostly female.
行[い]く**かな**,I wonder if I should go; Plain sentence kana: wonders aloud without asking.
行[い]く**もん**,but I am going; Reason mon: gives a reason back with a sulky ring.
行[い]った**っけ**,did I go; Plain sentence kke: asks back about something half remembered.
高[たか]い**のに**安[やす]い,cheap even though it is expensive; Clause noni clause: the second breaks the expectation the first sets.
高[たか]い**ので**買[か]わない,I won't buy it because it is expensive; Reason node outcome: measured and impersonal.
高[たか]い**から**買[か]わない,I won't buy it because it is expensive; Reason kara outcome: the speaker owns the judgement.
高[たか]い**けど**買[か]う,it is expensive but I'll buy it; Clause kedo clause: the two pull against each other.
高[たか]い**が**買[か]う,it is expensive but I'll buy it; Clause ga clause: same as kedo but stiffer and more written.
安[やす]い**し**うまい,it is cheap and tasty too; Reason shi reason: more reasons are hinted at.
行[い]く**と**言[い]った,he said he would go; Quote to verb of saying: marks the quoted words or thought.
猫[ねこ]**という**名前[なまえ],a name called cat; Name toiu noun: introduces what something is called.
私[わたし]**にとって**大切[たいせつ]だ,it matters to me; Person nitotte statement: what follows holds true for that person.
行[い]く**ために**働[はたら]く,to work in order to go; Aim tameni action: the action is done to bring the aim about.
行[い]く**ように**言[い]う,to tell someone to go; Wanted state youni verb: usually reports an instruction.
猫[ねこ]**さえ**いない,there is not even a cat; Noun sae negative verb: the least likely case and the rest follows from it.
私[わたし]**こそ**行[い]く,I am the very one who should go; Noun koso clause: spotlights the noun above all others.
それ**なら**行[い]く,in that case I'll go; Noun nara clause: takes what was just said as the condition.
子供[こども]**たち**,children; Noun tachi: makes a group of people.
田中[たなか]**さん**,Mr Tanaka; Name san: ordinary politeness.
田中[たなか]**くん**,Tanaka; Name kun: for a boy or someone junior.
花[はな]**ちゃん**,little Hana; Name chan: for a child or a close friend fondly.
