es,en
**Es** para mí,"It's for me; ser in the present, for he/she/it — this is what it is, not how it happens to be right now."
¿**Está** aquí?,"Is he here?; estar in the present, for he/she/it — how or where something is at the moment."
**Estoy** bien,"I'm fine; estar in the present, for I — how or where something is at the moment."
Todavía no **ha**...,"He still hasn't; haber in the present, for he/she/it — pairs with a past participle: *have* done."
¡**Vamos** ya!,"Let's go already!; ir in the present, for we — also just means let's go."
¿**Hay** algo?,"Is there anything?; haber in the present, for he/she/it — used with no subject for there is or there are."
No **tengo** nada,"I don't have anything; tener in the present, for I — to have or hold."
¿Cómo **estás**?,"How are you?; estar in the present, for you (tú) — how or where something is at the moment."
No **sé** por qué,"I don't know why; saber in the present, for I — to know a fact."
Yo ya lo **he**...,"I already have; haber in the present, for I — pairs with a past participle: *have* done."
Tengo que **ser** yo,"It has to be me; the plain form of ser, to be — what something is, not how it happens to be right now."
Él **tiene** algo mío,"He has something of mine; tener in the present, for he/she/it — to have or hold."
No **puedo** más,"I can't take any more; poder in the present, for I — to be able or allowed."
No **quiero** nada más,"I don't want anything else; querer in the present, for I — want, or love, when it's a person."
No sé qué **hacer**,"I don't know what to do; the plain form of hacer, to do or to make."
Todo **fue** por ti,"It was all because of you; ser in the past, for he/she/it — it happened, it's over."
**Gracias** por todo,Thanks for everything; Feminine plural noun for thanks from gracia which alone means grace or wit.
Otra **vez** no,Not again; Feminine noun for a time or occasion with plural veces.
Él **era** así antes,"He used to be like that; ser in the past, for he/she/it — that's how it was back then, over a stretch of time."
No **soy** así,"I'm not like that; ser in the present, for I — that's just who I am."
¿**Son** para mí?,"Are they for me?; ser in the present, for they — this is what it is, not how it happens to be right now."
¿Qué **tienes** ahí?,"What have you got there?; tener in the present, for you (tú) — to have or hold."
**Creo** que sí,"I think so; creer in the present, for I — to believe or think something."
Ahora **voy** para allá,"I'm on my way there now; ir in the present, for I — to go or to be heading somewhere."
¿**Sabes** algo de él?,"Do you know anything about him?; saber in the present, for you (tú) — to know a fact or piece of information."
**Estaba** aquí antes,"It was here earlier; estar in the past, for he/she/it — that's how it was back then, over a stretch of time."
¿**Puede** ser?,"Could that be?; poder in the present, for he/she/it — puede ser is how you say ""maybe""."
Tú **eres** así,"You're just like that; ser in the present, for you (tú) — that's just who you are."
Eso no es **verdad**,That isn't true; Feminine noun for truth and as ¿verdad? it tags a sentence.
Vamos a mi **casa**,"Let's go to my place; Feminine noun for house or home, and en casa takes no article."
No tengo **tiempo**,I don't have time; Masculine noun for time and also for the weather.
¿Cómo **va** todo?,"How's everything going?; ir in the present, for he/she/it — goes or is going."
Por **favor** no,"Please don't; Masculine noun for a favour, fixed in the request por favor."
¿Qué **quieres** de mí?,"What do you want from me?; querer in the present, for you (tú) — want, or love, when it's a person."
Lo **siento** mucho,"I'm very sorry; sentir in the present, for I — to feel, and lo siento apologises."
¿Está el **señor** aquí?,Is the gentleman here?; Masculine noun for a gentleman or sir or Mr before a surname.
**Hace** mucho tiempo,"A long time ago; hacer in the present, for he/she/it — with a time span it means ago."
**Has** de hacer algo,"You have to do something; haber in the present, for you (tú) — pairs with a past participle: *have* done."
¿Qué quieres **decir**?,"What do you mean?; the plain form of decir, to say or to tell."
**Tenemos** que hacer algo,"We have to do something; tener in the present, for we — tener que means to have to."
¿Dónde **están** todos?,"Where is everybody?; estar in the present, for they — how or where something is at the moment."
¿Tú **puedes** hacer eso?,"Can you do that?; poder in the present, for you (tú) — to be able or allowed."
No puedo **ver** nada,"I can't see anything; the plain form of ver, to see."
¡**Hombre** por favor!,Oh come on!; Masculine noun for a man and in Spain an exclamation of appeal.
Así es la **vida**,That's life; Feminine noun for life and mi vida is an endearment.
Hay muchas **cosas**,There are lots of things; Feminine plural noun for things from singular cosa.
Tengo que **ir**,"I have to go; the plain form of ir, to go — and ir a plus a plain verb is the future."
Tengo diez **años**,I'm ten years old; Masculine plural noun for years used with tener for age.
Quiero **estar** aquí,"I want to be here; the plain form of estar, to be — how or where something is at the moment."
Todo el **día**,All day; Masculine noun for a day and masculine despite its final a.
Esta **noche** no puedo,I can't tonight; Feminine noun for night or evening with esta noche meaning tonight.
Ya **estamos** aquí,"We're here now; estar in the present, for we — how or where something is at the moment."
Estoy de **acuerdo** contigo,I agree with you; Masculine noun for an agreement used in the phrase estar de acuerdo.
No tengo **trabajo**,I don't have a job; Masculine noun for work or a job.
Me **parece** bien,"Sounds good to me; parecer in the present, for he/she/it — to seem or to look like."
Hay mucha **gente** aquí,"There are a lot of people here; Feminine noun for people, and it takes a singular verb in Spanish."
Lo que **sea** está bien,"Whatever works is fine; ser in the subjunctive (after wishes, doubt, hopes), for he/she/it — lo que sea means whatever."
Mi **padre** no está,My father isn't in; Masculine noun for father whose plural padres usually means parents.
**Mira** esto,Look at this; mirar as a command to one person (tú) — to look at or watch.
¿Quién lo **dijo**?,"Who said that?; decir in the past, for he/she/it — to say or tell, it happened, it's over."
¿Qué **quiere** usted?,"What do you want?; querer in the present, for you (polite, usted) — want, or love, when it's a person."
**Podría** ser,"It could be; poder in the would-form, for I or he/she/it — could or might."
Quiero **hablar** contigo,"I want to talk to you; the plain form of hablar, to speak or talk."
¿A dónde **vas**?,"Where are you going?; ir in the present, for you (tú) — vas a plus a plain verb is how you say the future."
¿Qué **pasa**?,"What's going on?; pasar in the present, for he/she/it — to happen, to pass, or to spend time."
**Han** de hablar conmigo,"They have to talk to me; haber in the present, for they — pairs with a past participle: han hablado."
¿Tienes **dinero**?,Do you have any money?; Masculine noun for money and uncountable so it has no plural.
Quiero ver el **mundo**,I want to see the world; Masculine noun for world with todo el mundo meaning everybody.
Un **momento** por favor,One moment please; Masculine noun for a moment with en este momento meaning right now.
¿Puedo **tener** uno?,"Can I have one?; the plain form of tener, to have or hold, with tener que meaning to have to."
He **estado** aquí,"I have been here; past participle of estar (the -ed form, pairs with haber), never changing its ending."
**Había** mucha gente,"There were a lot of people; haber in the past, for he/she/it — there was or there were, always singular."
No **tenía** dinero,"He didn't have any money; tener in the past, for I or he/she/it — that's how it was back then, over a stretch of time."
¿Y tu **madre**?,And your mother?; Feminine noun for mother though mamá is the usual term of address.
**Vale** hasta mañana,"Okay see you tomorrow; valer in the present, for he/she/it — to be worth, and vale is Spain's everyday okay."
¿Qué **lugar** es este?,What place is this?; Masculine noun for a place with tener lugar meaning to take place.
¿Qué estás **haciendo**?,"What are you doing?; the -ing form of hacer, used with estar for doing or making right now."
Nadie **sabe** nada,"Nobody knows anything; saber in the present, for he/she/it — to know a fact or how to do something."
**Podemos** ir mañana,"We can go tomorrow; poder in the present, for we — to be able or may."
**Espera** un momento,Hold on a second; esperar as a command to one person (tú) — to wait or hope.
¿Qué ha **sido** de él?,"What became of him?; past participle of ser (the -ed form, pairs with haber), as in ha sido, has been."
Es otra **cosa**,That's something else; Feminine noun for a thing with la cosa es que meaning the thing is.
¿Cómo está su **hijo**?,How is your son?; Masculine noun for son whose plural hijos covers children of either sex.
¿Qué **tipo** de hombre?,What kind of man?; Masculine noun for a type or kind and informally a guy.
¿Eres su **amigo**?,Are you his friend?; Masculine noun for a male friend with no romantic meaning.
¿Quién es esa **mujer**?,Who is that woman?; Feminine noun for woman and also wife as in mi mujer.
**Mamá** ya voy,Mom I'm coming; Feminine noun for mom the affectionate everyday word for one's mother.
¿Está **papá** en casa?,Is dad home?; Masculine noun for dad the affectionate everyday word for one's father.
Hace tres **días**,Three days ago; Masculine plural of día meaning days as in buenos días.
¿Qué **dice** ella?,"What does she say?; decir in the present, for he/she/it — to say, with dice que reporting what someone said."
**Necesito** hablar contigo,"I need to talk to you; necesitar in the present, for I — to need something."
Yo no **dije** eso,"I didn't say that; decir in the past, for I — it happened, it's over."
**Oye** ¿tienes un momento?,Hey have you got a minute?; oír as a command to one person (tú) — also used to grab attention.
Me **gusta** este lugar,"I like this place; gustar in the present, for he/she/it — it means to be pleasing, so the thing you like is what does the acting."
Sólo **quería** verte,"I just wanted to see you; querer in the past, for I or he/she/it — wanting something, or a softer way to ask."
¿**Será** verdad?,"Can it be true?; ser in the future, for he/she/it — also used to guess that something probably is."
Puede **haber** algo,"There might be something; the plain form of haber, giving there is after another verb as in puede haber."
En otra **parte**,Somewhere else; Feminine noun for a part with en alguna parte meaning somewhere.
¿Cuál es tu **nombre**?,What's your name?; Masculine noun for a name with a nombre de meaning in the name of.
¡Qué **mierda**!,What a mess!; Feminine noun for shit genuinely vulgar and used alone as a curse.
Eso **debe** ser verdad,"That must be true; deber in the present, for he/she/it — must or ought to before the plain form of a verb."
No he **visto** nada,"I haven't seen anything; irregular past participle of ver (the -ed form, pairs with haber), and it never changes shape."
No me **importa** nada,"I don't care at all; importar in the present, for he/she/it — to matter or be of concern."
**Tienen** mucho dinero,"They have a lot of money; tener in the present, for they — to have or hold."
**Hemos** visto todo,"We've seen everything; haber in the present, for we — pairs with a past participle: *have* done."
Tienes **razón**,"You're right; Feminine noun meaning reason, tener razón is to be right."
Quiero **saber** la verdad,"I want to know the truth; the plain form of saber, to know a fact or piece of information."
¿Quién **hizo** esto?,"Who did this?; hacer in the past, for he/she/it — did or made, it happened, it's over."
A **veces** no sé,"Sometimes I don't know; Feminine plural of vez, times or occasions as in a veces."
Ellos no **ven** nada,"They don't see anything; ver in the present, for they — to see."
No tengo **idea**,"I have no idea; Feminine noun for an idea, ni idea means no clue."
Hay un **problema**,There's a problem; Masculine noun for a problem despite the final a.
¿Qué **hora** es?,What time is it?; Feminine noun for a clock hour or an appointment slot.
**Amor** de mi vida,"Love of my life; Masculine noun for love, mi amor is a common endearment."
Él no **ve** bien,"He doesn't see well; ver in the present, for he/she/it — to see."
Toda mi **familia** está aquí,"My whole family is here; Feminine noun for family, counts as singular so it takes a singular verb."
La **policía** está aquí,The police are here; Feminine noun where la policía is the force and un policía one officer.
Yo **debería** irme,"I should go; deber in the would-form, for I — should or ought to."
Esa **chica** no me quiere,That girl doesn't like me; Feminine noun for a girl or a young woman.
¡Vamos **chicos**!,"Let's go guys!; Masculine plural of chico, guys or kids including a mixed group."
Él me **cuenta** todo,"He tells me everything; contar in the present, for he/she/it — to tell or to count."
¿Qué **haces** aquí?,"What are you doing here?; hacer in the present, for you (tú) — to do or to make."
Quiero **salir** de aquí,"I want to get out of here; the plain form of salir, to leave or go out of a place."
¡**Vaya** problema!,"What a problem!; ir in the subjunctive (after wishes, doubt, hopes), for he/she/it — also an exclamation meaning wow."
Te **veo** mañana,"See you tomorrow; ver in the present, for I — to see."
Son mis **amigos**,"They're my friends; Masculine plural of amigo, friends including women in a mixed group."
Mi **hermano** es policía,"My brother is a police officer; Masculine noun for brother, the plural hermanos means siblings."
**Pensé** que era mi amigo,"I thought he was my friend; pensar in the past, for I — thought or believed, it happened, it's over."
No **sabía** nada de esto,"I didn't know anything about this; saber in the past, for I — knew or used to know, that's how it was back then, over a stretch of time."
Tengo algo en la **cabeza**,"I've got something in my head; Feminine noun for the head, also where ideas and sense sit."
Gracias **cariño**,"Thanks sweetheart; Masculine noun for affection, also a term of endearment for anyone."
¿Qué **digo** ahora?,"What do I say now?; decir in the present, for I — to say or to tell."
¿A dónde **van** ustedes?,"Where are you all going?; ir in the present, for they — to go."
Dos **hombres** están aquí,"Two men are here; Masculine plural of hombre, men or an interjection expressing surprise."
**Somos** amigos,"We're friends; ser in the present, for we — this is what it is, not how it happens to be right now."
Esa no es **forma** de hablar,That's no way to talk; Feminine noun for a shape or a way of doing something.
Está a mi **lado**,"He's next to me; Masculine noun for a side, al lado de means beside."
**Debo** hablar contigo,"I have to talk to you; deber in the present, for I — must, or with an object it means to owe."
**Sería** un problema,"It would be a problem; ser in the would-form, for he/she/it — would be."
