ja,en
あの人[ひと]はだれですか,who is that person; hito means person.
今日[きょう]は人[ひと]がとても多[おお]いです,there are a lot of people today; kyou means today.
今[いま]は何時[なんじ]ですか,what time is it now; ima means now.
今[いま]は時間[じかん]がありません,I do not have time now; jikan means time.
時間[じかん]がある人[ひと]は少[すく]ないです,there are few people who have time; aru means to exist for things.
今[いま]あそこに人[ひと]がいるようです,it seems someone is over there now; iru means to exist for people.
今日[きょう]は何[なに]をするつもりですか,what do you plan to do today; suru means to do.
明日[あした]は時間[じかん]がありますか,do you have time tomorrow; ashita means tomorrow.
昨日[きのう]はとても忙[いそが]しかったです,yesterday was very busy; kinou means yesterday.
毎日[まいにち]とても忙[いそが]しいです,I am very busy every day; mainichi means every day.
朝[あさ]はいつも時間[じかん]がありません,I never have time in the morning; asa means morning.
昼[ひる]はとても暑[あつ]いです,it is very hot at midday; hiru means noon or daytime.
夜[よる]は時間[じかん]が少[すこ]しあります,I have a little time at night; yoru means night.
私[わたし]の家[いえ]はとても小[ちい]さいです,my house is very small; ie means house.
あの学校[がっこう]は新[あたら]しくて大[おお]きいです,that school is new and big; gakkou means school.
あの学校[がっこう]の先生[せんせい]はとてもいい人[ひと]です,the teachers at that school are very nice people; sensei means teacher.
この学校[がっこう]の学生[がくせい]は多[おお]いです,this school has many students; gakusei means student.
私[わたし]の友達[ともだち]もこの学校[がっこう]の学生[がくせい]です,my friend is also a student at this school; tomodachi means friend.
私[わたし]の家族[かぞく]は今[いま]家[いえ]にいます,my family is at home now; kazoku means family.
あなたの名前[なまえ]は何[なん]ですか,what is your name; namae means name.
私[わたし]の友達[ともだち]は日本語[にほんご]が上手[じょうず]です,my friend is good at Japanese; nihongo means the Japanese language.
明日[あした]学校[がっこう]に行[い]くつもりです,I plan to go to school tomorrow; iku means to go.
明日[あした]友達[ともだち]が家[いえ]に来[く]るそうです,I hear a friend is coming to my house tomorrow; kuru means to come.
今日[きょう]は早[はや]く家[いえ]に帰[かえ]るつもりです,I plan to go home early today; kaeru means to return home.
ここから学校[がっこう]を見[み]ることができます,you can see the school from here; miru means to see.
先生[せんせい]に聞[き]くことができますか,can you ask the teacher; kiku means to listen or to ask.
あの人[ひと]が言[い]うことはいつも正[ただ]しいです,what that person says is always right; iu means to say.
先生[せんせい]と日本語[にほんご]で話[はな]すつもりです,I plan to speak in Japanese with the teacher; hanasu means to speak.
先生[せんせい]が言[い]うことがよく分[わ]かります,I understand what the teacher says well; wakaru means to understand.
この本[ほん]はとても高[たか]いです,this book is very expensive; hon means book.
夜[よる]に本[ほん]を読[よ]むのが好[す]きです,I like reading books at night; yomu means to read.
ここに名前[なまえ]を書[か]くことができますか,can you write your name here; kaku means to write.
本[ほん]を読[よ]むと新[あたら]しいことを知[し]ることができます,reading books lets you learn new things; shiru means to know.
私[わたし]もそう思[おも]うことがあります,I sometimes think so too; omou means to think.
この水[みず]はとてもおいしいです,this water tastes very good; mizu means water.
今日[きょう]のご飯[はん]はとてもおいしかったです,today's meal was very good; gohan means rice or a meal.
